開始日,終了日,全学年予定,1年個別予定,2,3,4,5,専1,専2,曜日変更 (Mo Tu We...)
2021-04-03,,,,開寮,開寮,開寮,開寮,開寮,開寮,
2021-04-04,,,入寮式,開寮式,開寮式,開寮式,開寮式,,,
2021-04-05,,,入学式,,,,,入学式,,
2021-04-05,,,,,,,,,,
2021-04-06,,(午前) 始業式,,(午後) 授業開始,(午後) 授業開始,(午後) 授業開始,(午後) 授業開始,,,
2021-04-08,,,(1-2校時) 実力試験,,,,,,,
2021-04-09,,,授業開始,,,,,,,
2021-04-16,,学生健康診断,,,,,,,,
2021-04-26,,学生会総会 (4校時),,,,,,通常授業,通常授業,
2021-05-10,,避難訓練 (4校時),,,,,,,,
2021-05-27,,(6/17に変更) 春季スポーツ大会,,,,,,,,
2021-06-02,2021-06-04,,前期中間試験,前期中間試験,前期中間試験,,,,,
2021-06-08,2021-06-14,,,,,,,第2Q開始,第2Q開始,
2021-06-17,,(5/27から変更) 春季スポーツ大会,,,,,,,,
2021-06-21,,体育大会壮行式 (4校時),,,,,,通常授業,通常授業,
2021-07-02,,学生休業日 (地区大会移動日),,,,,,,,
2021-07-03,2021-07-04,東北地区高専体育大会,,,,,,,,
2021-07-05,,学生休業日 (高専祭振替),,,,,,,,
2021-07-07,,月曜授業,,,,,,,,Mo
2021-07-20,,木曜授業,,,,,,,,Th
2021-07-21,,4校~ 大掃除・オープンキャンパス準備,,,,,,,,
2021-07-22,2021-07-23,オープンキャンパス (広瀬),,,,,,,,
2021-08-02,2021-08-06,前期期末試験,,,,,,通常授業,通常授業,
2021-08-05,,,,,,,,金曜授業,金曜授業,
2021-08-07,,閉寮,,,,,,,,
2021-08-09,2021-09-17,夏季休業,,,,,,,,
2021-09-21,,授業再開、4校 校長講話・体育大会報告会,,,,,,通常授業・第3Q開始,通常授業・第3Q開始,
2021-09-21,2021-09-24,補講・答案返却期間,,,,,,,,
2021-09-27,,,補講・答案返却期間,補講・答案返却期間,TOEIC IP,TOEIC IP,TOEIC IP,,,
2021-09-28,2021-09-29,補講・答案返却期間,,,,,,,,
2021-09-30,,,補講・答案返却期間,補講・答案返却期間,校外研修,補講・答案返却期間,補講・答案返却期間,,,
2021-10-01,,開校記念日 (学生休業日),,,,,,,,
2021-10-04,,後期授業開始,,,,,,,,
2021-10-29,,1 授業、2~ 高専祭準備,,,,,,,,
2021-10-30,2021-10-31,高専祭,,,,,,,,
2021-10-30,,松韻寮保護者懇談会,,,,,,,,
2021-11-01,,学生休業日,,,,,,,,
2021-11-04,,水曜授業,,,,,,,,We
2021-11-09,2021-11-12,,,,,研修旅行,,,,
2021-11-12,,,,校外研修,,,,,,
2021-11-13,,,,,,郊外研修予備日,,,,
2021-11-15,,学生会立会演説会 (4校時),,,,,,通常授業,通常授業,
2021-11-26,2021-11-27,,,,,,,専攻科シンポジウム,専攻科シンポジウム,
2021-11-29,,,,,,,,専攻科学生休業日,専攻科学生休業日,
2021-11-30,,,,,,,,第4Q開始,第4Q開始,
2021-12-01,2021-12-03,,後期中間試験,後期中間試験,後期中間試験,,,,,
2021-12-24,,~3 授業、4~ 大掃除、HR,,,,,,,,
2021-12-25,,閉寮,,,,,,,,
2021-12-25,2022-01-05,冬季休業,,,,,,,,
2022-01-05,,開寮,,,,,,,,
2022-01-06,,授業再開,,,,,,,,
2022-01-11,,推薦入試前日 (学生登校禁止),,,,,,,,
2022-01-12,,推薦入試 (学生登校禁止),,,,,,,,
2022-01-13,,月曜授業,,,,,,,,Mo
2022-01-25,2022-01-28,,,,,,後期期末試験,,,
2022-01-31,,,,,,,,,論文締め切り,
2022-02-03,,,,,,,,本審査会,本審査会,
2022-02-04,,,後期期末試験,後期期末試験,後期期末試験,後期期末試験,補講期間,,,
2022-02-07,2022-02-10,,後期期末試験,後期期末試験,後期期末試験,後期期末試験,補講期間,,,
2022-02-13,,学力入試 (学生登校禁止),,,,,,,,
2022-02-14,,学力入試採点日 (学生登校禁止),,,,,,,,
2022-02-15,,,通常授業,通常授業,通常授業,通常授業,,,,
2022-02-16,2022-02-18,,補講・答案返却期間,補講・答案返却期間,補講・答案返却期間,補講・答案返却期間,,,,
2022-02-16,,,,,,,,中間発表,,
2022-02-18,,,,,,,卒論締め切り,,,
2022-02-21,2022-02-22,,補講・答案返却期間,補講・答案返却期間,補講・答案返却期間,補講・答案返却期間,,,,
2022-02-22,,終業式・予餞会,,,,,,,,
2022-02-24,2022-02-25,,,,,,卒研発表,,,
2022-02-27,,学力入試追試験,,,,,,,,
2022-03-20,,卒業式・修了式,,,,,,,,
2022-03-22,,年末休業,,,,,,,,
